Unique Investment Identifier,Business Case ID,Investment Type,Infrastructure Management Category,Agency Code,Agency Name,Bureau Code,Bureau Name,Investment Title,Agency Strategic Objectives / Agency Priority Goals,ROI Description,Investment Shared Service,Planned Shared Service,Paperwork Reduction Act OMB Control Number(s),PM Name,PM Qualifications,Funding PY1 and Prior ($ M),Funding PY ($ M),Funding CY ($ M),Funding BY ($ M),Investment Start Year,Investment End Year,Explanation of Change to PY or CY Funding,Analysis Conclusion,Evaluation (by Agency CIO),CIO Evaluation Comments,Consecutive Months with Red CIO Eval,Date of Last Update to CIO Evaluation,Date of Last Change to CIO Evaluation,Number of changes to Baseline,Date of Last Baseline,Date of Last Change to Activities,Date of Last Update to Activities,Data Freshness,Date of Last Change to Performance Metrics,Date of Last Update to Performance Metric Actuals,Budget Year,Date Investment First Submitted,Date of Last Investment Detail Update,Investment Auto Submission Date
024-000006079,193,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Rescue 21,024SO18227 - Not Available,"The R21 Return on Investment (ROI) was determined by a Cost Analysis dtd March 2005; the cost analysis demonstrated a ROI of 3.05 and a payback period of 13 years. In determining the ROI, the R21 Key Decision Point (KDP) 1 was completed in Jul 1995 and authorized entry into the programs Concept and Technology Demonstration phase under the authority of DOT. In Aug 1999, KDP2 authorized the program to proceed into the Capability Development and Demonstration phase. In Aug 2001, the Coast Guard awarded three R21 Phase I contracts to competing contractors to develop proposed system designs. The Phase I proposals were reviewed in late 2001 and the Phase II production contract RFP was issued in Feb 2002. Following a formal source selection process, the USCGs Source Selection Official (SSO) awarded the R21 Phase II production contract to General Dynamics C4 Systems in Sep 2002. In Jul 2005, DHS authorized the R21 program to proceed into the Production and Deployment phase and full rate production subsequently commenced in Sep 2005.   Internal Benefits: R21 is used to tailor CG response (including coordinating with local first responders and federal coordinators), significantly reducing response time to mariners in distress. The R21 system enhances the CGs ability to detect & respond to distress calls in the coastal zone, which directly benefits the U.S. publics marine safety & saves lives. Benefits also include system disaster recovery capabilities that have supported coordination in numerous federals regional response and remediation efforts by providing a critical communication backbone in the disaster regions. For example, the R21 system provided a communication system that supported efforts to re-open ports in NY and NJ after hurricane Sandy.   External Benefits of the R21 system: Provides capabilities to help ensure the successful outcome of Search and Rescue (SAR) missions. By May 2017, R21 has been used in more than 94,730 SAR cases. Advanced DF which moreaccurately identifies the location of callers with lines of bearing to the VHF radio transmission source which reduces response time & search area; Continuous, enhanced VHF-FM marine radio coverage out to 20 nautical miles from shore; improved ability to identify suspected hoax calls; Increases the number of voice channels; Digital voice recording w/ immediate playback; Timely flow of info between CG & other stakeholders. The R21 investment is slated to reach the breakeven point in 2018.",yes,yes,,Gregory Woods,1 - FAC-P/PM(DAWIA-3)- Senior,1589.279,88.943,81.368,81.465,1997,2029,There are no fundamental or substantive changes.,1 - continue as is,3,"Funding will be a challenge for the R21-Coastal project; the program is performing an Alternatives Analysis (AA) that will recommend strategies for system transition. The programs AA document is expected to be complete by February 2021. The program has made significant progress repairing most of the R21-Alaska sites that experienced outages. In June 2020, R21 made repairs to the Sitkinak Dome, Point Pigot, Cape Hinchinbrook, and Althorp Mountain sites.",0,7/24/2020 20:55,7/24/2020 20:55,6,9/17/2019 19:02,9/20/2018 1:08,9/20/2018 1:08,Update Required,9/17/2019 19:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000007333,168,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	70",Federal Emergency Management Agency,FEMA - Logistics Supply Chain Management System (LSCMS),024SO18227 - Not Available,"The ROI formula has too many unpredictable components to be calculated precisely, but an ROI qualitative analysis is useful: ROI=(((Original Baseline O&M - New Total O&M) + Other Benefits to Society)/Acquisition Cost Only)-1
   
The LSCMS ROI calculation considers the benefit to the public of using LSCMS compared to alternative uses of the funds. However, public benefits directly attributable to LSCMS are dependent on disasters making actual benefits unpredictable. An expected yearly benefit over the cost of not implementing LSCMS is estimated at $5M, including savings, cost avoidance, and productivity improvements. This does not consider the benefit of implementing LSCMS. An average annual public benefit of $20M, based on 4 disasters per year and $5M per disaster for benefits to the states = $20M, returning an annual benefit to recover the initial investment by 2028 (or earlier if public benefits accrue faster.)
   
Although a quantified ROI timeframe is not feasible, the ROI is negative when considering only system benefits which are always less than O&M costs, and significantly positive when considering the probability of annually distributing more than $20M in benefits to society.
 Previous O&M = averaged $29.85M
 New O&M = $24.88
the increasing resource costs, O&M costs are not anticipated to decrease.
 System cost Benefits = $5M
 Public Benefits > $20M
  
ROI = (((29.854M-24.883M)+385.550M)/102.017)-1 = 283%
System cost benefits include: Savings from developmental alternatives, resource optimization and hardware and asset inventory; cost avoidances from reduction in legacy O&M costs, better asset management and COOP; and productivity improvements from data visibility, automation, and partner integration.",no,no,,Kevin Langley,1 - FAC-P/PM(DAWIA-3)- Senior,370.941,30.719,29.193,29.805,2006,2028,"The lifetime of the investment has been extended through FY2028, rather than FY2024 reflected in last year's Presidential Budget.  A major refresh in FY2016 will extend the life of the investment to FY2028 and increases the life cycle costs by $133M.  ADE-3 and FOC pushed out from FY2014 to FY2019.",1 - continue as is,4,"The LSCMS program plans to transition to AWS Transit Gateway to provide two additional communication paths to the application by FY2021, to reduce reliance on the DHS OneNet Trusted Internet Connection (TIC), which will provide a total of 3 paths. The Acquisition Decision Memorandum (ADM) from September 2019 requests that the LSCMS program provide a Post-Implementation Review (PIR) to DHS PARM by the end of August 2020.",0,7/24/2020 20:55,7/24/2020 20:55,8,9/14/2017 11:30,10/30/2019 15:05,10/30/2019 15:05,Update Required,4/30/2020 18:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000005605,172,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	45",Transportation Security Administration,TSA - Secure Flight,024SO18227 - Not Available,"The SF ROI is measured based on cost avoidance dollars that relate to preventing an act of terrorism from occurring.  Through FY19, it is estimated that $441B in cost avoidance dollars are attributable to SF.  SF benefits national security by identifying high-and low-risk passengers in order to mitigate known and unknown threats to aviation security. SF plans to include watch lists and rules-based procedures to expand TSA PreCheck, and increase the reliability of using compliant SF passenger data to further automate operational processes that support identification of known or suspected terrorists, measureable through Operational Performance Measure (OPM) 183025.  SF expected outcomes are to successfully identify individuals on the Selectee List for enhanced screening, minimize misidentification of individuals as potential threats to aviation security, incorporate additional RBS capabilities to streamline processes, and protect passengers personal information from unauthorized use and disclosure. SF integrates DHS redress results into the watch list matching process to help prevent future delays of misidentified passengers, and measureable through OPM 171975. SF also enables the TSA Pre-Check program, part of TSAs effort to apply RBS procedures at airport security checkpoints primarily benefiting the traveling public and maintain system availability measurable through OPM 183026.  SFs primary stakeholder is the traveling public, other non-governmental stakeholders include aircraft operators. SF provides relief from the watch list matching burden, timely & accurate matches and resolutions, and government response coordination. SW upgrades to improve early insight into potential matches to the watch list with the goal to improve the interactive capability for recurring or manual watch list matching on a 24/7 basis through the SF Operations. SW and HW upgrades to improve the approach for implementing new risk-based security capabilities described in Project 150, streamline the processes for accommodating additional aviation populations, and protect passengers personal information from unauthorized use and disclosure. Other Government stakeholders include TSA HQ, other DHS agencies, the FAA, the Dept. of Justice including the FBIs Terrorist Screening Center, and other law enforcement agencies.",yes,no,,Julie Labra,1 - FAC-P/PM(DAWIA-3)- Senior,1220.763,110.337,110.836,112.932,2001,2025,"There are no significant changes to the budget for PY and CY, the variance is less than 6%.  For CY to BY, the slightly above 10% in funds is for the purchase of HW to support the SF core vetting engine.",1 - continue as is,3,Secure Flight has two active projects: Performance Level Refreshes 150 and Software IT Updates 550. Both projects have exceeded the planned target metric of 97.5%. Secure Flight must adapt to the constant changing requirements and operational environment this can impact schedule releases. The program has been successful in adapting to this dynamic environment while focused on remediating outstanding POA&Ms.,0,6/9/2020 19:39,6/9/2020 19:39,5,9/17/2019 19:02,7/30/2020 21:12,7/30/2020 21:12,Update Required,9/17/2019 19:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000003015,319,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	30",Citizenship and Immigration Services,USCIS - Transformation,024APG18014 - Enhance Southern Border Security,"Transformations estimated cost avoidances fall into five categories:  avoidances from reduced mailings (FY12-33), decommissioning of legacy systems (FY18-20), reduced data entry (FY12-33), reduced call center calls (FY12-33) and reduced file movement and storage (FY12-33).
Therefore, the Return on Investment (ROI) is calculated by determining the net benefit, which in this case is the total cumulative cost avoidances for reduced mailings, systems decommissioning, reduced data entry, call center calls, and file movement and storage over the lifecycle of the system (FY12-33), dividing the net benefit by the total initial capital investment, subtracting 1, and converting the remaining figure to a percentage.
A negative 42% ROI indicates that this investment will recover some of its initial purchase and implementation of new capital assets to create a new capability.  However, this ROI calculation is in the early phases of this investments development and does not fully quantify the additional internal and external benefits that have not yet been assessed.
The benefits for the system included Transformation Program Objectives:
 
- Increase security by accurately identifying individuals at each interaction with USCIS.  
- Increase security by timely sharing of data with partner agencies.
- Improve immigration benefits system integrity by standardizing processes and systems throughout the agency
- Improve immigration system integrity by cultivating a culture that respects and protects privacy.
- Improve ability to detect and investigate fraudulent activity by improving the quality and availability of data.
- Minimize the burden to customers interacting with the agency.
- Inform customers in a manner most likely to result in understanding and appropriate action.
- Provide benefits, quickly, consistently, and accurately to those who are entitled
- Deliver an open and transparent work environment.
- Enable managers to match work and resources on a needs basis.
- Provide a work environment that promotes success.
The ROI calculation data came from using the August 2012 AA Attachments 1 and 2.",yes,yes,,David A. Blair,1 - FAC-P/PM(DAWIA-3)- Senior,1781.726,166.155,128.588,92.12,2006,2034,,1 - continue as is,3,ELIS has been a critical in enabling continued operations across USCIS during the COVID-19 crisis. Failure to update the open source libraries and components that the ELIS system utilizes will lead to software malfunction or security vulnerabilities in the software. The program is continuing to enhance the ELIS digital case processing platform by adding new products and services to support agency operations and the ability to response to policy changes as they occur.,0,7/24/2020 20:55,7/24/2020 20:55,13,4/30/2020 13:55,4/30/2020 13:55,4/30/2020 13:55,Update Required,5/29/2020 13:35,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000009102,134,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	10",Departmental Management and Operations,DHS - CIO - Homeland Security Information Network (HSIN),024SO18227 - Not Available,"HSIN is used extensively to coordinate national security events, incident response, law enforcement activities and other homeland security operations. HSINs benefits are in providing vital support to the homeland security enterprise and stakeholders. HSINs program costs for the past year were about $23.152 million. HSIN completed the cloud migration project in 2017 and closed out more expensive infrastructure services in DC-2. This resulted in $1.2 million in realized cost avoidance for the past year (July 2018  June 2019) and yielded an actual Return on Investment (ROI) of 1.05 overall. Estimates for cost avoidance for this year, FY20, are slightly above that of FY19, and continue on an increasing cost avoidance trend for the next four budget years.",yes,no,,James Lanoue,1 - FAC-P/PM(DAWIA-3)- Senior,89.112,23.152,19.792,19.792,2004,2028,"Changes to meet emerging security requirements, interoperability and hosting services and the planned upgrade from SharePoint-2010 to SharePoint-2016 continue to impact the funding levels and funding categories. Additionally O&M costs to support a larger number of system users effects funding levels.",1 - continue as is,4,"The HSIN program has successfully serviced around 6,800 daily users on HSIN Connect during the COVID-19 pandemic. This is up from the daily average of 1,362 users at the start of the year. HSIN is in the process of updating its SharePoint application, as well as upgrading the Identity and Credential Management component of HSIN to better support its users. This migration effort has experienced schedule delays, due to an increased need by HSIN stakeholders to share information related to COVID.",0,7/7/2020 19:54,7/7/2020 19:54,8,9/17/2019 19:02,4/30/2020 13:55,4/30/2020 13:55,Update Required,9/17/2019 19:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000003029,327,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	30",Citizenship and Immigration Services,USCIS - Verification Modernization (VER),024SO18227 - Not Available,"This investment in modernizing VER, an existing capability, will recover a majority of the acquisition costs both by significantly reducing operations and maintenance costs over the system lifecycle and by enabling the system to efficiently address the anticipated greater than 175% increase in verification workload expected over the planning horizon.  VER MOD will achieve these objectives by: Optimizing the effectiveness of VER operational staff using VIS and associated systems for verifications; by minimizing the need for additional staff to address anticipated verification workload growth; and by increasing system capacity in order to address expected verification workload growth.  
- Expand System Capacity: System capacity will be expanded to address the over 80 million queries per year and 200 thousand MOUs expected by 2027
- Streamline and Reengineer Business Processes: Streamlined and reengineered verification business processes will increase the accuracy and efficiency of manual verification processes.
- Improve Stability and Reliability of Verification Services: Employers and benefits agencies will gain a more stable system. Increased uptime will allow employers more consistent access to the systems.",yes,no,,Jonathan M. Mills,2 - FAC-P/PM(DAWIA-2)- Mid-Level,897.592,167.638,156.454,153.047,2008,2027,Differences in the President's Budget and the last approved LCCE reflect cost savings due to efficiencies obtained by proper program management.,1 - continue as is,3,Anomalies in data quality from partner systems could result in decreased trust of VIS. The Program has implemented and prioritized an all-hands approach to mitigate the data anomalies. The program is working to improve its CISO scorecard.,0,7/24/2020 20:55,7/24/2020 20:55,18,9/17/2019 19:02,11/27/2019 17:49,11/27/2019 17:49,Update Required,12/23/2019 16:28,7/30/2020 21:12,2021,6/30/2009 0:00,7/30/2020 21:12,6/30/2009 0:00
024-000005628,170,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	45",Transportation Security Administration,TSA - Transportation Worker Identification Credential (TWIC),024SO18227 - Not Available,"The benefit of the TWIC program is that it improves security by a common nation-wide secure biometric credential that is used by operators of the national maritime transportation infrastructure to make access control decisions. The TWIC program established standards and processes for enrollment, vetting, adjudication, redress, card issuance and activation. In addition, TSA continuously monitors all TWIC holders for terrorism risks and revokes credentials when the individual is no longer eligible for TWIC. The TWIC program currently reports 7 key performance metrics: Average Adjudication Total Accuracy Rate, Invalid Enrollment Rate, Customer Satisfaction, Average Wait Time, Operational Availability, Program Financial Commitment Variance, and Program Viability. The TWIC program continually reviews metrics and in 2019, the TWIC program continues to evaluate existing performance measures to develop more effective metrics aligned with program objectives. 
To calculate ROI, the program did a cash flow analysis using the TWIC Funding History report published by the TSA CFO which has the history of funding for the program up to September 30, 2018. ROI for the TWIC program is calculated as (Cash In  Cash Out)/Cash Out. Cash In is derived from two sources, appropriated funding provided early in the program and fee revenue collected from transportation workers once the program reached operational capability. Consequently, as of September 30, 2018, Cash In (Appropriations) $155.875M + Cash In (Fees) $974.380M = $1130.255M; Cash Out (Expenses) = $595.001M; therefore, ROI = ($1130.225M-$595.001M)/$595.001M = 89.96%. The details for this method are included in the first tab of the TWIC ROI workbook which is uploaded.",yes,no,,Stephanie W. Hamilton,1 - FAC-P/PM(DAWIA-3)- Senior,619.547,56.291,52.08,60.125,2003,2024,"This program is funded from user fees. Variances between budgetary resources and outlays are a result of the variable nature of the program. Since this is a fee based program, actual fees collected do not always correspond directly with projected fee collections.",1 - continue as is,4,"TWIC programs plans to automate the FBI Rap Back Service into the recurrent vetting process by FY2020Q4. In FY2019, TSA released the Cancelled Card List (CCL) Mobile Application which allows owners and operators of MTSA-regulated facilities to receive active reports on active, expired, or cancelled TWIC cards. TWIC program no longer has an IT system after the TWIC IT system was transitioned into the TIM program in 2014.",0,6/9/2020 19:39,6/9/2020 19:39,12,9/17/2019 19:02,4/30/2020 13:55,4/30/2020 13:55,Update Required,9/17/2019 19:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000001226,155,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	00",Department of Homeland Security,DHS - CHCO - HR-IT,024SO18227 - Not Available,"The DHS-OCHCO-HRIT Portfolio will automate and integrate business processes across all functions of the DHS Human Capital Business Reference Model using authoritative data in a secure manner to provide an exceptional user experience at an affordable price. The ROI is acquiring HRIT systems and or solutions that support changing HR policies and practices that provide flexibilities and advantages to improve DHS's national security mission, ability to innovate and transform our HR programs to meet mission needs and garner trust in our workforce by providing effective HR services. Each project in the Portfolio follows the appropriate DHS System Engineer Life Cycle (SELC) and the acquisition life cycle with awareness to historical data/lessons learned. Both qualitative and quantitative methods will be used to analyze ROI including primary and secondary costs beneficial internally and externally. OCHCO, HCBS leadership will require potential service providers to provide demonstrations during the AA studies to support assessment of the potential products against the requirements and evaluation criteria. Potential service providers will inform OCHCO, HCBS about the amount of configuration and/or customization that might be needed for the product to optimally meet expectations. The Integrated Project Teams (IPT) will participate with service providers for analysis of how potential products meet the requirements and evaluation criteria. These evaluations will be used to narrow the product/service selection for pilots and/or identify product/service acquisition recommendations to the HRIT governance boards. Additional ROI's include contract consolidation for IT capabilities along with benefits from the USA Staffing contract which consolidated 8 DHS Interagency Agreements with OPM. USA Staffing consolidation nets a 10 percent discount for the Department with an annual savings of $293K and yields $1.7M over 5 years. The Workers Compensation-Medical Case Management Services (WC-MCMS) a result of TSA need and HRIT portfolio review showed a 9.6% average increase in workers compensation costs annually. The WC-MCMS will deliver on the Presidential POWER initiative by returning employees back to work sooner and reducing workers compensation costs. Each Component pays for services required and projected cost savings is approximately $112M over 5 years. Various other Department-wide HRIT O&M projects (USAJOBS, NFC Payroll & Service Reporting, EHRI and HRLOB) have significant return on investment that map to the investments planned outcomes.",yes,yes,,Neil Singh,1 - FAC-P/PM(DAWIA-3)- Senior,155.633,23.365,24.978,24.066,2003,2032,"The Final FY15 Presidents Budget request includes two program enhancements above the FY14 enacted funding level:1) A request  for an additional $1.143M to support the implementation of the enterprise-wide Performance and Learning Management System (PALMS), and 2) A request for an additional $.0879M in support of HRIT Portfolio Management. The FY16 funding level for HRIT (appropriated) includes the FY15 Presidents Budget program enhancements as well as a mandated Department-wide 1% reduction.",1 - continue as is,3,"The Department of Homeland Security (DHS) Human Resources Information Technology (HRIT) investment is in the Mixed life cycle phase. The program continues to operate outside acceptable OMB cost and schedule thresholds due to historical data from the completed poor performing Performance and Learning Management System (PALMS) project. Since achieving ADE-1, the program has moved from the planning stage into measuring progress on each of the Strategic Improvement Opportunities (SIOs) and implementing solutions. The program has not reached the outcome stage, but is currently measuring the progress and implementing project plans to get to the outcome stage. Also, the DHS Deputy Under Secretary for Management (DUSM) signed the memorandum on August 2018 enhancing the DHS Chief Human Capital Officers (CHCO) authority to approve all HRIT Investment across the DHS. As the designated official, the CHCO is charged with establishing policy and process for implementing HRIT solutions to ensure investments align with Department-wide strategic goals and priorities. DHS leadership and HRIT stakeholders are actively participating in the planning of the HRIT portfolio through an Executive Steering Committee (ESC) and Advisory Board. The program is making substantial progress in both Technical and Non-technical SIO initiatives. HRIT continues to address the remaining GAO and Office of the Inspector General (OIG) recommendation action items. The program consistently monitors and manages its risk through prioritizing imminent risks and putting mitigation strategies in place; however, the program reports a moderate risk exposure score. The Department of Homeland Security (DHS) Chief Information Officer (CIO) now assesses HRIT as a Medium Risk investment.",0,2/28/2019 15:45,2/28/2019 15:45,9,9/17/2019 19:02,5/31/2019 20:44,5/31/2019 20:44,Update Required,8/31/2020 17:32,8/31/2020 17:32,2021,6/30/2009 0:00,8/31/2020 17:32,6/30/2009 0:00
024-000006005,195,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Nationwide Automatic Identification System (NAIS),024APG18014 - Enhance Southern Border Security,"NAIS improves maritime domain awareness and offers improvements in collision avoidance, maritime safety, environmental protection and national security through the detection, classification and tracking of vessels whether they are in national water or still thousands of miles off shore.  
The ROI of 7.94, as calculated in the NAIS Alternatives Analysis of Dec 29, 2006, was calculated by determining the sum of the present value of all benefits and dividing it by the sum of the present value of all costs of each capability.  The benefits of security risk reduction (such as detection of large commercial vessel introduces WMD into US port and fishing vessel has a crew member onboard suspected of being a terrorist) are included in the ROI calculation.  The benefits of operational performance (such as improved Search and Rescue detection and response and collision detection and enforcement) have not been included because the confidence in those calculations was low; however if they were to be included, the ROI would be even higher.  The benefits were calculated for the following capabilities provided by NAIS: coastal receive, coastal transmit, long range receive, advanced data capability, and inland waters receive and transmit.  For each capability a variety of scenarios were evaluated using probabilities of occurrence and consequence costs to demonstrate the improvement in security risk by implementing NAIS.  
The present value of all costs of each capability was calculated using the LCCE produced as part of the NAIS Alternatives Analysis document.  The total benefit was calculated as $5,704,345,592; the total LCC was calculated as $718,062,000; the ROI was calculated as 7.94.  
While 7.94 is the ROI for the whole NAIS system, each Increment offers improvements in each capability to differing degrees.  Increment 1 primarily benefits coastal receive.  After recapitalization of Increment 1 with Increment 2, the return on investment is significant improvement of marine safety and security by increasing receive coverage from 24nm to 50 nm, the addition of transmit capability out to 24 nm, and advanced data capability.  Increment 3 primarily benefits long range receive.",yes,no,,Mr. Gregory Woods,1 - FAC-P/PM(DAWIA-3)- Senior,371.841,13.257,10.59,10.665,2003,2037,FY2016 Cost estimates have been included in the current CIP; no other changes on previously reported fiscal years have been made.,1 - continue as is,3,NAIS is deploying Windows 10.5 update with an expected completion by end of FY2020. NAIS updated functionally requirements are under review and pending approval. NAIS has highlighted a risk as Project Schedule and Resources; there can be a potential increase in equipment failures as a result of personnel lacking adequate availability to complete required artifacts. The Program has a project to replace aging NAIS Base Stations that are becoming obsolete and nearing end of life.,0,6/9/2020 19:39,6/9/2020 19:39,14,2/28/2020 18:06,4/30/2020 18:14,6/30/2020 15:56,Update Required,9/17/2019 19:02,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
024-000006104,201,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Core Accounting System (CAS),024SO18227 - Not Available,"Return on Investment: This legacy system has been deployed for over thirteen years, supporting the financial and procurement transactions for three DHS components. By this fact alone, DHS, CG and TSA leadership agree that CAS provides positive ROI, but the ROI has diminished over the years due to obsolescence and security risks. Calculating the current ROI on this legacy system would require significant time and resources.  For a system that is planned for disposition, the time and resources required to calculate the current ROI have been reallocated by leadership for continued sustainment of the system. It should be noted that the CAS Suite is planned for disposal after all data is either converted and migrated to FMSII or transferred into the planned FMPDR after the USCG and TSA successfully go live on FMSII. 
Benefits Internal (Government): A benefit of the CAS suite is that the system supports  accounting, asset management, and procurement system for the U.S. Coast Guard and the Transportation Security Agency. All financial transactions are consolidated in the CAS suite so that information can be reported to the Department of Homeland Security in a timely manner. The CAS suite records and tracks accounting and financial activities, ensuring that legislative, Government Accounting Office, Treasury Department, Office of Management and Budget, and Department of Homeland Security requirements are captured. 
  
Benefits External (General Public):  The external benefits stems on continued service to the general public regarding support from the U.S. Coast Guard and the Transportation Security Agency. These Department of Homeland Security components support the nation by sustaining a comprehensive national strategy to secure the United States from terrorist threats or attacks, as well as emergency response during national catastrophe.  These components support the executive branch's efforts of comprehensive homeland security.",yes,no,,Lynnae J. Tyler CG-6813,1 - FAC-P/PM(DAWIA-3)- Senior,567.756,10.927,10.224,10.245,1998,2021,There are no fundamental or substantive changes.,1 - continue as is,3,"The U.S. Coast Guard Core Accounting System (CAS) suite is in the Support life cycle phase. The program is currently operating within OMB recommended thresholds for cost and schedule variances. The CAS program continues to provide capabilities that support the day-to-day financial operations of the USCG, which entails supporting thousands of users and over millions of transactions annually. The program is utilizing the adaptive maintenance and technology refresh to address the security vulnerabilities and to maintain the Authority To Operate (ATO). The Program continues to focus resources towards TRIO FSM while maintaining the sustainment mode. The program is meeting all operational performance metrics in the areas of Customer Satisfaction, Innovation, Strategic and Business goals, and Financial Performance. The program has a Moderate Risk Exposure score. However, leadership continues to sufficiently manage risk to ensure threats and vulnerabilities are promptly mitigated. The Department of Homeland Security (DHS) Chief Information Officer (CIO) continues assesses the CAS program as a Medium Risk investment.",0,2/28/2019 15:45,2/28/2019 15:45,7,10/30/2019 15:06,9/17/2019 19:03,9/17/2019 19:03,Update Required,10/30/2019 15:06,8/31/2020 17:33,2021,6/30/2009 0:00,8/31/2020 17:33,6/30/2009 0:00
